study,effect,se,timing,atlas_estimate_id,control,se_origin
Contractor & Reyes (2026),0.268,0.12,1 week,contractor_reyes_2026__contractor_and_reyes_2026_session_two_test,No AI allowed,Atlas reported SE
Barcaui (2025),-0.68,0.224,45 days,barcaui_2025__est0,Traditional learning (no AI),Reconstructed from 95% CI width / 3.92
Kazemitabaar et al. (2023),0.41,0.244,1 week,kazemitabaar_etal_2023__est20,No AI code generator (baseline),Atlas reported SE
Kalam et al. (2025),0.93,0.46,1 week,kalam_etal_2025__est17,"Institutional resources (lectures, textbooks)",Atlas reported SE
Kreijkes et al. (2026),-0.44,0.06,3 days,kreijkes_etal_2026__est25,Note-taking only,Atlas reported SE
