omitted_study,k,mean,se_hk,ci_low,ci_high,tau2,I2,Q,pred_low,pred_high
Contractor & Reyes (2026),4,-0.02000432,0.35905900,-1.16269030,1.12268167,0.41487452,85.95160156,21.35474740,-2.36682464,2.32681601
Barcaui (2025),4,0.19706956,0.27250437,-0.67016097,1.06430008,0.24070626,92.95083881,42.55825506,-1.58897445,1.98311356
Kazemitabaar et al. (2023),4,-0.05449766,0.34025225,-1.13733218,1.02833685,0.36112073,92.07871970,37.87266562,-2.25221206,2.14321673
Kalam et al. (2025),4,-0.11665833,0.26099110,-0.94724850,0.71393183,0.23542716,92.33347773,39.13117179,-1.87002022,1.63670355
Kreijkes et al. (2026),4,0.17711056,0.32456047,-0.85578571,1.21000682,0.33249213,83.96281101,18.70652021,-1.92867746,2.28289857
